2022-10-25 10:22:50 status half-configured readline-common:all 8.1-1
2022-10-25 10:22:50 status installed readline-common:all 8.1-1
2022-10-25 10:22:50 configure libreadline8:amd64 8.1-1 <none>
2022-10-25 10:22:50 status unpacked libreadline8:amd64 8.1-1
2022-10-25 10:22:50 status half-configured libreadline8:amd64 8.1-1
2022-10-25 10:22:50 status installed libreadline8:amd64 8.1-1
2022-10-25 10:22:50 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-10-25 10:22:50 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:50 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:50 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:50 configure libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3 <none>
2022-10-25 10:22:50 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:50 status half-configured libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:50 status installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:50 configure ca-certificates:all 20210119 <none>
2022-10-25 10:22:50 status unpacked ca-certificates:all 20210119
2022-10-25 10:22:50 status half-configured ca-certificates:all 20210119
2022-10-25 10:22:51 status installed ca-certificates:all 20210119
2022-10-25 10:22:51 status triggers-pending ca-certificates:all 20210119
2022-10-25 10:22:51 configure gnupg1:amd64 1.4.23-1.1 <none>
2022-10-25 10:22:51 status unpacked gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:51 status half-configured gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:51 status installed gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:51 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-10-25 10:22:51 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-10-25 10:22:51 status installed libc-bin:amd64 2.31-13+deb11u5
2022-10-25 10:22:51 trigproc ca-certificates:all 20210119 <none>
2022-10-25 10:22:51 status half-configured ca-certificates:all 20210119
2022-10-25 10:22:51 status installed ca-certificates:all 20210119
2022-10-25 10:22:53 startup packages remove
2022-10-25 10:22:53 status installed gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:53 remove gnupg1:amd64 1.4.23-1.1 <none>
2022-10-25 10:22:53 status half-configured gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:53 status half-installed gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:53 status config-files gnupg1:amd64 1.4.23-1.1
2022-10-25 10:22:53 status not-installed gnupg1:amd64 <none>
2022-10-25 10:22:53 status installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:53 remove libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3 <none>
2022-10-25 10:22:53 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-10-25 10:22:53 status half-configured libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:53 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:53 status config-files libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 10:22:53 status not-installed libcurl3-gnutls:amd64 <none>
2022-10-25 10:22:53 status installed libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:22:53 remove libbrotli1:amd64 1.0.9-2+b2 <none>
2022-10-25 10:22:53 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:22:53 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:22:53 status config-files libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:22:53 status not-installed libbrotli1:amd64 <none>
2022-10-25 10:22:53 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:53 remove libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-10-25 10:22:53 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:53 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:53 status config-files libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 10:22:53 status not-installed libldap-2.4-2:amd64 <none>
2022-10-25 10:22:53 status installed libnghttp2-14:amd64 1.43.0-1
2022-10-25 10:22:53 remove libnghttp2-14:amd64 1.43.0-1 <none>
2022-10-25 10:22:53 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-10-25 10:22:53 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-10-25 10:22:53 status config-files libnghttp2-14:amd64 1.43.0-1
2022-10-25 10:22:53 status not-installed libnghttp2-14:amd64 <none>
2022-10-25 10:22:53 status installed libpsl5:amd64 0.21.0-1.2
2022-10-25 10:22:53 remove libpsl5:amd64 0.21.0-1.2 <none>
2022-10-25 10:22:53 status half-configured libpsl5:amd64 0.21.0-1.2
2022-10-25 10:22:53 status half-installed libpsl5:amd64 0.21.0-1.2
2022-10-25 10:22:53 status config-files libpsl5:amd64 0.21.0-1.2
2022-10-25 10:22:53 status not-installed libpsl5:amd64 <none>
2022-10-25 10:22:53 status installed libreadline8:amd64 8.1-1
2022-10-25 10:22:53 remove libreadline8:amd64 8.1-1 <none>
2022-10-25 10:22:53 status half-configured libreadline8:amd64 8.1-1
2022-10-25 10:22:53 status half-installed libreadline8:amd64 8.1-1
2022-10-25 10:22:53 status config-files libreadline8:amd64 8.1-1
2022-10-25 10:22:53 status not-installed libreadline8:amd64 <none>
2022-10-25 10:22:53 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 10:22:53 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-10-25 10:22:53 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 10:22:53 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 10:22:53 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 10:22:53 status not-installed librtmp1:amd64 <none>
2022-10-25 10:22:53 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:53 remove libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 10:22:53 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:53 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:53 status config-files libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:54 status not-installed libsasl2-2:amd64 <none>
2022-10-25 10:22:54 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:54 remove libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 10:22:54 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:54 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:54 status config-files libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 10:22:54 status not-installed libsasl2-modules-db:amd64 <none>
2022-10-25 10:22:54 status installed libssh2-1:amd64 1.9.0-2
2022-10-25 10:22:54 remove libssh2-1:amd64 1.9.0-2 <none>
2022-10-25 10:22:54 status half-configured libssh2-1:amd64 1.9.0-2
2022-10-25 10:22:54 status half-installed libssh2-1:amd64 1.9.0-2
2022-10-25 10:22:54 status config-files libssh2-1:amd64 1.9.0-2
2022-10-25 10:22:54 status not-installed libssh2-1:amd64 <none>
2022-10-25 10:22:54 status installed readline-common:all 8.1-1
2022-10-25 10:22:54 remove readline-common:all 8.1-1 <none>
2022-10-25 10:22:54 status half-configured readline-common:all 8.1-1
2022-10-25 10:22:54 status half-installed readline-common:all 8.1-1
2022-10-25 10:22:54 status config-files readline-common:all 8.1-1
2022-10-25 10:22:54 startup packages configure
2022-10-25 10:22:54 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-10-25 10:22:54 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-10-25 10:22:54 status installed libc-bin:amd64 2.31-13+deb11u5
2022-10-25 10:22:54 startup packages purge
2022-10-25 10:22:54 purge readline-common:all 8.1-1 <none>
2022-10-25 10:22:54 status config-files readline-common:all 8.1-1
2022-10-25 10:22:54 status not-installed readline-common:all <none>
2022-10-25 10:22:54 startup packages configure
2022-10-25 10:23:01 startup archives unpack
